,lat,lon,Country
0,70.0,-10.0,
1,69.75,-10.0,
2,69.5,-10.0,
3,69.25,-10.0,
4,69.0,-10.0,
5,68.75,-10.0,
6,68.5,-10.0,
7,68.25,-10.0,
8,68.0,-10.0,
9,67.75,-10.0,
10,67.5,-10.0,
11,67.25,-10.0,
12,67.0,-10.0,
13,66.75,-10.0,
14,66.5,-10.0,
15,66.25,-10.0,
16,66.0,-10.0,
17,65.75,-10.0,
18,65.5,-10.0,
19,65.25,-10.0,
20,65.0,-10.0,
21,64.75,-10.0,
22,64.5,-10.0,
23,64.25,-10.0,
24,64.0,-10.0,
25,63.75,-10.0,
26,63.5,-10.0,
27,63.25,-10.0,
28,63.0,-10.0,
29,62.75,-10.0,
30,62.5,-10.0,
31,62.25,-10.0,
32,62.0,-10.0,
33,61.75,-10.0,
34,61.5,-10.0,
35,61.25,-10.0,
36,61.0,-10.0,
37,60.75,-10.0,
38,60.5,-10.0,
39,60.25,-10.0,
40,60.0,-10.0,
41,59.75,-10.0,
42,59.5,-10.0,
43,59.25,-10.0,
44,59.0,-10.0,
45,58.75,-10.0,
46,58.5,-10.0,
47,58.25,-10.0,
48,58.0,-10.0,
49,57.75,-10.0,
50,57.5,-10.0,
51,57.25,-10.0,
52,57.0,-10.0,
53,56.75,-10.0,
54,56.5,-10.0,
55,56.25,-10.0,
56,56.0,-10.0,
57,55.75,-10.0,
58,55.5,-10.0,
59,55.25,-10.0,
60,55.0,-10.0,
61,54.75,-10.0,
62,54.5,-10.0,Éire / Ireland
63,54.25,-10.0,Éire / Ireland
64,54.0,-10.0,Éire / Ireland
65,53.75,-10.0,Éire / Ireland
66,53.5,-10.0,Éire / Ireland
67,53.25,-10.0,Éire / Ireland
68,53.0,-10.0,Éire / Ireland
69,52.75,-10.0,Éire / Ireland
70,52.5,-10.0,Éire / Ireland
71,52.25,-10.0,Éire / Ireland
72,52.0,-10.0,Éire / Ireland
73,51.75,-10.0,Éire / Ireland
74,51.5,-10.0,Éire / Ireland
75,51.25,-10.0,
76,51.0,-10.0,
77,50.75,-10.0,
78,50.5,-10.0,
79,50.25,-10.0,
80,50.0,-10.0,
81,49.75,-10.0,
82,49.5,-10.0,
83,49.25,-10.0,
84,49.0,-10.0,
85,48.75,-10.0,
86,48.5,-10.0,
87,48.25,-10.0,
88,48.0,-10.0,
89,47.75,-10.0,
90,47.5,-10.0,
91,47.25,-10.0,
92,47.0,-10.0,
93,46.75,-10.0,
94,46.5,-10.0,
95,46.25,-10.0,
96,46.0,-10.0,
97,45.75,-10.0,
98,45.5,-10.0,
99,45.25,-10.0,
100,45.0,-10.0,
101,44.75,-10.0,
102,44.5,-10.0,
103,44.25,-10.0,
104,44.0,-10.0,
105,43.75,-10.0,
106,43.5,-10.0,
107,43.25,-10.0,
108,43.0,-10.0,
109,42.75,-10.0,
110,42.5,-10.0,
111,42.25,-10.0,
112,42.0,-10.0,
113,41.75,-10.0,
114,41.5,-10.0,
115,41.25,-10.0,
116,41.0,-10.0,
117,40.75,-10.0,
118,40.5,-10.0,
119,40.25,-10.0,
120,40.0,-10.0,
121,39.75,-10.0,
122,39.5,-10.0,
123,39.25,-10.0,
124,39.0,-10.0,
125,38.75,-10.0,
126,38.5,-10.0,
127,38.25,-10.0,
128,38.0,-10.0,
129,37.75,-10.0,
130,37.5,-10.0,
131,37.25,-10.0,
132,37.0,-10.0,
133,36.75,-10.0,
134,36.5,-10.0,
135,36.25,-10.0,
136,36.0,-10.0,
137,35.75,-10.0,
138,35.5,-10.0,
139,35.25,-10.0,
140,35.0,-10.0,
141,70.0,-9.75,
142,69.75,-9.75,
143,69.5,-9.75,
144,69.25,-9.75,
145,69.0,-9.75,
146,68.75,-9.75,
147,68.5,-9.75,
148,68.25,-9.75,
149,68.0,-9.75,
150,67.75,-9.75,
151,67.5,-9.75,
152,67.25,-9.75,
153,67.0,-9.75,
154,66.75,-9.75,
155,66.5,-9.75,
156,66.25,-9.75,
157,66.0,-9.75,
158,65.75,-9.75,
159,65.5,-9.75,
160,65.25,-9.75,
161,65.0,-9.75,
162,64.75,-9.75,
163,64.5,-9.75,
164,64.25,-9.75,
165,64.0,-9.75,
166,63.75,-9.75,
167,63.5,-9.75,
168,63.25,-9.75,
169,63.0,-9.75,
170,62.75,-9.75,
171,62.5,-9.75,
172,62.25,-9.75,
173,62.0,-9.75,
174,61.75,-9.75,
175,61.5,-9.75,
176,61.25,-9.75,
177,61.0,-9.75,
178,60.75,-9.75,
179,60.5,-9.75,
180,60.25,-9.75,
181,60.0,-9.75,
182,59.75,-9.75,
183,59.5,-9.75,
184,59.25,-9.75,
185,59.0,-9.75,
186,58.75,-9.75,
187,58.5,-9.75,
188,58.25,-9.75,
189,58.0,-9.75,
190,57.75,-9.75,
191,57.5,-9.75,
192,57.25,-9.75,
193,57.0,-9.75,
194,56.75,-9.75,
195,56.5,-9.75,
196,56.25,-9.75,
197,56.0,-9.75,
198,55.75,-9.75,
199,55.5,-9.75,
200,55.25,-9.75,
201,55.0,-9.75,
202,54.75,-9.75,
203,54.5,-9.75,Éire / Ireland
204,54.25,-9.75,Éire / Ireland
205,54.0,-9.75,Éire / Ireland
206,53.75,-9.75,Éire / Ireland
207,53.5,-9.75,Éire / Ireland
208,53.25,-9.75,Éire / Ireland
209,53.0,-9.75,Éire / Ireland
210,52.75,-9.75,Éire / Ireland
211,52.5,-9.75,Éire / Ireland
212,52.25,-9.75,Éire / Ireland
213,52.0,-9.75,Éire / Ireland
214,51.75,-9.75,Éire / Ireland
215,51.5,-9.75,Éire / Ireland
216,51.25,-9.75,Éire / Ireland
217,51.0,-9.75,
218,50.75,-9.75,
219,50.5,-9.75,
220,50.25,-9.75,
221,50.0,-9.75,
222,49.75,-9.75,
223,49.5,-9.75,
224,49.25,-9.75,
225,49.0,-9.75,
226,48.75,-9.75,
227,48.5,-9.75,
228,48.25,-9.75,
229,48.0,-9.75,
230,47.75,-9.75,
231,47.5,-9.75,
232,47.25,-9.75,
233,47.0,-9.75,
234,46.75,-9.75,
235,46.5,-9.75,
236,46.25,-9.75,
237,46.0,-9.75,
238,45.75,-9.75,
239,45.5,-9.75,
240,45.25,-9.75,
241,45.0,-9.75,
242,44.75,-9.75,
243,44.5,-9.75,
244,44.25,-9.75,
245,44.0,-9.75,
246,43.75,-9.75,
247,43.5,-9.75,
248,43.25,-9.75,
249,43.0,-9.75,
250,42.75,-9.75,
251,42.5,-9.75,
252,42.25,-9.75,
253,42.0,-9.75,
254,41.75,-9.75,
255,41.5,-9.75,
256,41.25,-9.75,
257,41.0,-9.75,
258,40.75,-9.75,
259,40.5,-9.75,
260,40.25,-9.75,
261,40.0,-9.75,
262,39.75,-9.75,
263,39.5,-9.75,Portugal
264,39.25,-9.75,Portugal
265,39.0,-9.75,Portugal
266,38.75,-9.75,Portugal
267,38.5,-9.75,
268,38.25,-9.75,
269,38.0,-9.75,
270,37.75,-9.75,
271,37.5,-9.75,
272,37.25,-9.75,
273,37.0,-9.75,
274,36.75,-9.75,
275,36.5,-9.75,
276,36.25,-9.75,
277,36.0,-9.75,
278,35.75,-9.75,
279,35.5,-9.75,
280,35.25,-9.75,
281,35.0,-9.75,
282,70.0,-9.5,
283,69.75,-9.5,
284,69.5,-9.5,
285,69.25,-9.5,
286,69.0,-9.5,
287,68.75,-9.5,
